full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
LeBron James,97,#23,Los Angeles Lakers,F,12/30/84,2.06,113.4,37436858.0,USA,2003,1,1,
Kawhi Leonard,97,#2,Los Angeles Clippers,F,06/29/91,2.01,102.1,32742000.0,USA,2011,1,15,San Diego State
Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/06/94,2.11,109.8,25842697.0,Greece,2013,1,15,
Kevin Durant,96,#7,Brooklyn Nets,F,09/29/88,2.08,104.3,37199000.0,USA,2007,1,2,Texas
James Harden,96,#13,Houston Rockets,G,08/26/89,1.96,99.8,38199000.0,USA,2009,1,3,Arizona State
Stephen Curry,95,#30,Golden State Warriors,G,03/14/88,1.91,83.9,40231758.0,USA,2009,1,7,Davidson
Anthony Davis,94,#3,Los Angeles Lakers,F-C,03/11/93,2.08,100.7,27093019.0,USA,2012,1,1,Kentucky
Paul George,93,#13,Los Angeles Clippers,F,05/02/90,2.03,95.3,33005556.0,USA,2010,1,10,Fresno State
Damian Lillard,92,#0,Portland Trail Blazers,G,07/15/90,1.88,88.5,29802321.0,USA,2012,1,6,Weber State
Joel Embiid,91,#21,Philadelphia 76ers,C,03/16/94,2.13,113.4,27504630.0,Cameroon,2014,1,3,Kansas
Kyrie Irving,91,#11,Brooklyn Nets,G,03/23/92,1.88,81.6,31742000.0,Australia,2011,1,1,Duke
Nikola Jokic,90,#15,Denver Nuggets,C,02/19/95,2.13,114.8,27504630.0,Serbia,2014,2,41,
Russell Westbrook,90,#0,Houston Rockets,G,11/12/88,1.91,86.2,38506482.0,USA,2008,1,4,UCLA
Klay Thompson,89,#11,Golden State Warriors,G,02/08/90,1.98,93.0,32742000.0,USA,2011,1,11,Washington State
Karl-Anthony Towns,89,#32,Minnesota Timberwolves,F-C,11/15/95,2.11,112.5,27285000.0,USA,2015,1,1,Kentucky
Jimmy Butler,88,#22,Miami Heat,G,09/14/89,2.01,99.8,32742000.0,USA,2011,1,30,Marquette
Rudy Gobert,88,#27,Utah Jazz,C,06/26/92,2.16,108.0,25258427.0,France,2013,1,27,
Blake Griffin,88,#23,Detroit Pistons,F,03/16/89,2.06,114.3,34449964.0,USA,2009,1,1,Oklahoma
Donovan Mitchell,88,#45,Utah Jazz,G,09/07/96,1.85,95.7,3635760.0,USA,2017,1,13,Louisville
Kemba Walker,88,#8,Boston Celtics,G,05/08/90,1.83,78.0,32742000.0,USA,2011,1,9,UConn
Luka Doncic,87,#77,Dallas Mavericks,G-F,02/28/99,2.01,103.0,7683360.0,Slovenia,2018,1,3,
LaMarcus Aldridge,87,#12,San Antonio Spurs,F-C,07/19/85,2.11,111.6,26000000.0,USA,2006,1,2,Texas
Bradley Beal,87,#3,Washington Wizards,G,06/28/93,1.91,93.9,27093018.0,USA,2012,1,3,Florida
Mike Conley,87,#10,Utah Jazz,G,10/11/87,1.85,83.9,32511623.0,USA,2007,1,4,Ohio State
DeMar DeRozan,87,#10,San Antonio Spurs,G-F,08/07/89,1.98,99.8,27739975.0,USA,2009,1,9,USC
CJ McCollum,87,#3,Portland Trail Blazers,G,09/19/91,1.91,89.4,27556959.0,USA,2013,1,10,Lehigh
Victor Oladipo,87,#4,Indiana Pacers,G,05/04/92,1.93,96.6,21000000.0,USA,2013,1,2,Indiana
Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,08/02/95,2.21,99.8,27285000.0,Latvia,2015,1,4,
D'Angelo Russell,87,#0,Minnesota Timberwolves,G,02/23/96,1.93,87.5,27285000.0,USA,2015,1,2,Ohio State
Pascal Siakam,87,#43,Toronto Raptors,F,04/02/94,2.06,103.0,2351838.0,Cameroon,2016,1,27,New Mexico State
Ben Simmons,87,#25,Philadelphia 76ers,F,07/20/96,2.08,108.9,8113929.0,Australia,2016,1,1,LSU
De'Aaron Fox,86,#5,Sacramento Kings,G,12/20/97,1.91,77.6,6392760.0,USA,2017,1,5,Kentucky
Devin Booker,86,#1,Phoenix Suns,G,10/30/96,1.96,93.4,27285000.0,USA,2015,1,13,Kentucky
DeMarcus Cousins,86,#0,,C,08/13/90,2.08,122.5,3500000.0,USA,2010,1,5,Kentucky
Andre Drummond,86,#0,Cleveland Cavaliers,C,08/10/93,2.08,122.5,27093018.0,USA,2012,1,9,UConn
Draymond Green,86,#23,Golden State Warriors,F,03/04/90,1.98,104.3,18539130.0,USA,2012,2,35,Michigan State
Jrue Holiday,86,#11,New Orleans Pelicans,G,06/12/90,1.91,81.6,26131111.0,USA,2009,1,17,UCLA
Nikola Vucevic,86,#9,Orlando Magic,C,10/24/90,2.11,108.9,28000000.0,Montenegro,2011,1,16,USC
John Wall,86,#2,Washington Wizards,G,09/06/90,1.93,88.5,38199000.0,USA,2010,1,1,Kentucky
Jayson Tatum,85,#0,Boston Celtics,F,03/03/98,2.03,92.5,7830000.0,USA,2017,1,3,Duke
Trae Young,85,#11,Atlanta Hawks,G,09/19/98,1.85,81.6,6273000.0,USA,2018,1,5,Oklahoma
Eric Bledsoe,85,#6,Milwaukee Bucks,G,12/09/89,1.85,88.5,15625000.0,USA,2010,1,18,Kentucky
Clint Capela,85,#15,Atlanta Hawks,C,05/18/94,2.08,95.7,16896552.0,Switzerland,2014,1,25,
Tobias Harris,85,#12,Philadelphia 76ers,F,07/15/92,2.03,102.5,32742000.0,USA,2011,1,19,Tennessee
Al Horford,85,#42,Philadelphia 76ers,C-F,06/03/86,2.06,111.6,28000000.0,Dominican Republic,2007,1,3,Florida
Zach LaVine,85,#8,Chicago Bulls,G,03/10/95,1.98,82.1,19500000.0,USA,2014,1,13,UCLA
Kyle Lowry,85,#7,Toronto Raptors,G,03/25/86,1.83,93.0,33296296.0,USA,2006,1,24,Villanova
Khris Middleton,85,#22,Milwaukee Bucks,F,08/12/91,2.01,98.4,30603448.0,USA,2012,2,39,Texas A&M
Chris Paul,85,#3,Oklahoma City Thunder,G,05/06/85,1.85,79.4,38506482.0,USA,2005,1,4,Wake Forest
John Collins,84,#20,Atlanta Hawks,F,09/23/97,2.06,102.1,2686560.0,USA,2017,1,19,Wake Forest
Buddy Hield,84,#24,Sacramento Kings,G,12/17/93,1.93,96.2,4861207.0,The Bahamas,2016,1,6,Oklahoma
Kyle Kuzma,84,#0,Los Angeles Lakers,F,07/24/95,2.03,100.2,1974600.0,USA,2017,1,27,Utah
Jamal Murray,84,#27,Denver Nuggets,G,02/23/97,1.93,91.2,4444746.0,Canada,2016,1,7,Kentucky
Louis Williams,84,#23,Los Angeles Clippers,G,10/27/86,1.85,79.4,8000000.0,USA,2005,2,45,
Marvin Bagley,83,#35,Sacramento Kings,F,03/14/99,2.11,106.6,8556120.0,USA,2018,1,2,Duke
Bojan Bogdanovic,83,#44,Utah Jazz,G-F,04/18/89,2.03,98.0,17000000.0,Croatia,2011,2,31,
Malcolm Brogdon,83,#7,Indiana Pacers,G,12/11/92,1.96,101.2,20000000.0,USA,2016,2,36,Virginia
Danilo Gallinari,83,#8,Oklahoma City Thunder,F,08/08/88,2.08,102.1,22615559.0,Italy,2008,1,6,
Montrezl Harrell,83,#5,Los Angeles Clippers,F,01/26/94,2.01,114.8,6000000.0,USA,2015,2,32,Louisville
Kevin Love,83,#0,Cleveland Cavaliers,F,09/07/88,2.03,117.9,28942830.0,USA,2008,1,5,UCLA
Lauri Markkanen,83,#24,Chicago Bulls,F-C,05/22/97,2.13,108.9,5300400.0,Finland,2017,1,7,Arizona
Jusuf Nurkic,83,#27,Portland Trail Blazers,C,08/23/94,2.13,131.5,12000000.0,Bosnia and Herzegovina,2014,1,16,
Julius Randle,83,#30,New York Knicks,F,11/29/94,2.03,113.4,18000000.0,USA,2014,1,7,Kentucky
Marc Gasol,82,#33,Toronto Raptors,C,01/29/85,2.11,120.2,25595700.0,Spain,2007,2,48,
Steven Adams,82,#12,Oklahoma City Thunder,C,07/20/93,2.11,115.7,25842697.0,New Zealand,2013,1,12,Pittsburgh
Deandre Ayton,82,#22,Phoenix Suns,C,07/23/98,2.11,113.4,9562920.0,The Bahamas,2018,1,1,Arizona
Spencer Dinwiddie,82,#8,Brooklyn Nets,G,04/06/93,1.96,93.0,10605600.0,USA,2014,2,38,Colorado
Jaren Jackson,82,#13,Memphis Grizzlies,F-C,09/15/99,2.11,110.0,6699960.0,USA,2018,1,4,Michigan State
Paul Millsap,82,#4,Denver Nuggets,F-C,02/10/85,2.01,113.4,30350000.0,USA,2017,2,47,Louisiana Tech
Marcus Smart,82,#36,Boston Celtics,G,03/06/94,1.91,103.0,12553571.0,USA,2014,1,6,Oklahoma State
Myles Turner,82,#33,Indiana Pacers,F-C,03/24/96,2.11,108.4,18000000.0,USA,2015,1,11,Texas
Serge Ibaka,81,#9,Toronto Raptors,F,09/18/89,2.13,108.9,23271604.0,Spain,2008,1,24,
Zion Williamson,81,#1,New Orleans Pelicans,F,07/06/00,1.98,128.8,9757440.0,USA,2019,1,1,Duke
Rudy Gay,81,#22,San Antonio Spurs,F,08/17/86,2.03,104.3,14500000.0,USA,2006,1,8,UConn
Aaron Gordon,81,#0,Orlando Magic,F,09/16/95,2.03,99.8,19863636.0,USA,2014,1,4,Arizona
Brandon Ingram,81,#14,New Orleans Pelicans,F,09/02/97,2.01,88.9,7265485.0,USA,2016,1,2,Duke
DeAndre Jordan,81,#6,Brooklyn Nets,C,07/21/88,2.11,120.2,9881598.0,USA,2008,2,35,Texas A&M
Domantas Sabonis,81,#11,Indiana Pacers,F-C,05/03/96,2.11,104.8,3529554.0,Lithuania,2016,1,11,Gonzaga
Jonas Valanciunas,81,#17,Memphis Grizzlies,C,05/06/92,2.11,104.8,16000000.0,Lithuania,2011,1,5,
Hassan Whiteside,81,#21,Portland Trail Blazers,C,06/13/89,2.13,106.6,27093018.0,USA,2010,2,33,Marshall
Derrick Rose,80,#25,Detroit Pistons,G,10/04/88,1.88,86.2,7317074.0,USA,2008,1,1,Memphis
Robert Covington,80,#33,Houston Rockets,F,12/14/90,2.01,94.8,11301219.0,USA,2013,Undrafted,Undrafted,Tennessee State
Derrick Favors,80,#22,New Orleans Pelicans,F,07/15/91,2.06,111.6,17650000.0,USA,2010,1,3,Georgia Tech
Gordon Hayward,80,#20,Boston Celtics,F,03/23/90,2.01,93.9,32700690.0,USA,2010,1,9,Butler
Reggie Jackson,80,#0,Los Angeles Clippers,G,04/16/90,1.91,94.3,17799677.0,USA,2011,1,24,Boston College
Enes Kanter,80,#11,Boston Celtics,C,05/20/92,2.08,118.8,4767000.0,Turkey,2011,1,3,
Otto Porter,80,#22,Chicago Bulls,F,06/03/93,2.03,89.8,27250576.0,USA,2013,1,2,Georgetown
JJ Redick,80,#4,New Orleans Pelicans,G,06/24/84,1.91,86.2,13486300.0,USA,2006,1,11,Duke
Josh Richardson,80,#0,Philadelphia 76ers,G,09/15/93,1.96,90.7,10116576.0,USA,2015,2,40,Tennessee
TJ Warren,80,#1,Indiana Pacers,F,09/05/93,2.03,99.8,11060000.0,USA,2014,1,14,NC State
Ja Morant,79,#12,Memphis Grizzlies,G,08/10/99,1.91,78.9,8730240.0,USA,2019,1,2,Murray State
Bam Adebayo,79,#13,Miami Heat,F-C,07/18/97,2.06,110.2,3454080.0,USA,2017,1,14,Kentucky
